learner_id,course_id,platform,enrollment_date,completion_status,assessment_score,feedback_score,time_spent_hours,video_completion_rate,interaction_count,anomaly_flag,course_quality_label,avg_completion_rate,avg_assessment_score,is_high_feedback,engagement_score,enrollment_month,enrollment_day_of_week
L0017,C034,Coursera,2022-08-24,1,62.1,4.6,7.8,0.94,15.0,0,1,0.745098039,50.31960784,1,14.1,8,2
L0018,C069,Coursera,2022-07-13,0,0.0,0.0,1.1,0.21,2.0,0,0,0.532258065,37.68064516,0,0.42,7,2
L0019,C011,FutureLearn,2022-05-31,1,77.7,2.7,2.5,0.74,8.0,0,0,0.682539683,47.54444444,0,5.92,5,1
L0020,C081,FutureLearn,2022-07-05,1,73.9,4.8,2.9,0.85,8.0,0,1,0.673469388,44.80612245,1,6.8,7,1
L0021,C074,Udemy,2022-12-27,0,0.0,0.0,2.0,0.25,0.0,0,0,0.671875,46.240625,0,0.0,12,1
L0022,C009,,2022-12-05,0,0.0,0.0,2.8,0.12,1.0,0,0,0.787234043,54.68723404,0,0.12,12,0
L0023,C030,edX,2022-02-10,1,68.9,2.0,11.2,0.93,7.0,0,0,0.714285714,49.2877551,0,6.51,2,3
L0024,C030,Coursera,2022-07-14,1,91.1,3.1,0.9,,8.0,0,1,0.714285714,49.2877551,0,7.6,7,3
L0025,C036,Skillshare,2022-11-22,0,0.0,0.0,2.0,0.34,0.0,0,0,0.68,47.784,0,0.0,11,1
L0026,C047,Udemy,2022-07-09,1,90.9,1.9,10.4,0.75,12.0,0,0,0.6,46.58,0,9.0,7,5
L0027,C046,Udemy,2022-12-10,1,64.2,1.5,25.9,0.96,7.0,0,0,0.775510204,53.68367347,0,6.72,12,5
L0028,C035,Coursera,2022-11-08,1,56.7,3.2,7.5,0.77,15.0,0,0,0.822222222,56.22888889,0,11.55,11,1
L0029,C082,Udemy,2022-10-01,1,89.5,4.6,21.8,0.93,11.0,0,1,0.661016949,45.00677966,1,10.23,10,5
L0030,C094,Udemy,2022-03-25,0,0.0,0.0,2.7,,,0,0,0.648148148,47.95925926,0,0.0,3,4
L0031,C060,Skillshare,2022-05-19,0,0.0,0.0,2.2,0.0,1.0,0,0,0.659574468,48.6,0,0.0,5,3
L0032,C082,FutureLearn,2022-04-23,1,57.0,3.6,2.5,0.91,,0,0,0.661016949,45.00677966,0,6.37,4,5
L0033,C088,edX,2022-01-29,1,84.5,3.6,8.4,0.73,9.0,0,1,0.607843137,41.05294118,0,6.57,1,5
L0034,C030,Coursera,2022-06-11,0,0.0,0.0,2.9,,,0,0,0.714285714,49.2877551,0,0.8,6,5
L0035,C052,edX,2022-02-03,1,76.2,1.8,12.8,0.78,9.0,0,0,0.742857143,52.52285714,0,7.02,2,3
L0036,C028,FutureLearn,2022-06-11,1,77.1,4.9,19.2,0.79,,0,1,0.634146341,45.11707317,1,7.11,6,5
L0037,C028,Skillshare,2022-07-22,1,68.9,1.7,8.1,0.98,12.0,0,0,0.634146341,45.11707317,0,11.76,7,4
L0038,C083,Skillshare,2022-03-15,0,0.0,0.0,2.0,0.5,1.0,0,0,0.775862069,53.65344828,0,0.5,3,1
L0039,C034,Udemy,2022-05-07,1,83.1,3.8,4.5,0.79,10.0,0,1,0.745098039,50.31960784,0,7.9,5,5
L0040,C096,FutureLearn,2022-10-03,1,86.0,3.6,12.1,0.94,,0,1,0.677966102,45.67118644,0,14.1,10,0
L0041,C034,FutureLearn,2022-08-08,1,72.5,1.1,6.3,0.86,8.0,0,0,0.745098039,50.31960784,0,6.88,8,0
L0042,C075,Skillshare,2022-07-05,0,0.0,0.0,0.6,0.41,1.0,0,0,0.613636364,43.90454545,0,0.41,7,1
L0043,C029,Udemy,2022-09-18,1,57.2,4.1,2.4,0.89,5.0,0,0,0.619047619,43.39761905,1,4.45,9,6
L0044,C064,Coursera,2022-01-25,1,100.0,3.9,37.2,0.85,,0,1,0.770833333,56.29791667,0,6.8,1,1
L0045,C015,Udemy,2022-11-18,0,0.0,0.0,1.6,0.04,0.0,0,0,0.714285714,49.94285714,0,0.0,11,4
L0046,C021,Skillshare,2022-11-02,1,79.5,4.3,11.9,0.82,6.0,0,1,0.74,50.32,1,4.92,11,2
L0047,C009,Skillshare,2022-07-15,0,0.0,0.0,1.9,0.36,3.0,0,0,0.787234043,54.68723404,0,1.08,7,4
L0048,C077,Skillshare,2022-09-28,1,50.1,2.0,4.4,0.93,3.0,0,0,0.688888889,47.95333333,0,2.79,9,2
L0049,C033,FutureLearn,2022-01-06,1,97.7,3.8,6.4,0.73,10.0,0,1,0.631578947,42.81842105,0,7.3,1,3
L0050,C088,Coursera,2022-12-16,0,0.0,0.0,1.6,0.2,,0,0,0.607843137,41.05294118,0,0.4,12,4
L0051,C069,edX,2022-11-25,1,70.9,4.4,10.7,0.75,16.0,0,1,0.532258065,37.68064516,1,12.0,11,4
L0052,C044,Coursera,2022-05-31,1,100.0,3.6,6.1,0.86,16.0,0,1,0.826086957,56.53913043,0,13.76,5,1
L0053,C056,Udemy,2022-08-21,1,62.7,2.3,18.6,0.71,13.0,0,0,0.727272727,51.27636364,0,9.23,8,6
L0054,C001,edX,2022-09-14,0,0.0,0.0,2.2,0.31,4.0,0,0,0.743589744,52.16153846,0,1.24,9,2
L0055,C098,Udemy,2022-09-17,1,73.1,4.2,46.6,0.82,9.0,0,1,0.795454545,56.28409091,1,7.38,9,5
L0056,C014,edX,2022-11-24,1,93.3,4.0,1.1,0.97,10.0,0,1,0.692307692,48.18269231,1,9.7,11,3
L0057,C065,FutureLearn,2022-04-12,1,63.4,4.6,4.9,0.7,15.0,0,0,0.705882353,47.83529412,1,10.5,4,1
L0058,C020,edX,2022-03-24,1,98.7,2.8,3.5,0.8,5.0,0,0,0.760869565,53.55434783,0,4.0,3,3
L0059,C070,FutureLearn,2022-01-01,0,0.0,0.0,1.9,0.22,2.0,0,0,0.738095238,48.29761905,0,0.44,1,5
L0060,C077,edX,2022-09-08,0,0.0,0.0,2.4,0.31,0.0,0,0,0.688888889,47.95333333,0,0.0,9,3
L0061,C003,Coursera,2022-07-05,0,0.0,0.0,2.3,0.04,2.0,0,0,0.681818182,43.65,0,0.08,7,1
L0062,C040,Udemy,2022-01-30,0,0.0,0.0,3.0,0.19,5.0,0,0,0.622222222,43.37555556,0,0.95,1,6
L0063,C031,FutureLearn,2022-02-10,0,0.0,0.0,2.4,0.28,2.0,0,0,0.636363636,44.01636364,0,0.56,2,3
L0064,C011,Skillshare,2022-02-05,1,86.0,1.0,6.3,0.72,5.0,0,0,0.682539683,47.54444444,0,3.6,2,5
L0065,C098,FutureLearn,2022-03-06,1,77.8,4.8,4.7,0.79,14.0,0,1,0.795454545,56.28409091,1,11.06,3,6
L0066,C017,Skillshare,2022-10-09,1,93.0,1.0,35.0,,15.0,0,0,0.731343284,51.24328358,0,10.65,10,6
L0067,C022,edX,2022-09-28,1,71.5,4.9,7.4,0.89,12.0,0,1,0.612903226,41.62419355,1,10.68,9,2
L0068,C078,Skillshare,2022-04-19,1,58.4,3.3,23.1,0.71,15.0,0,0,0.738095238,51.98809524,0,10.65,4,1
L0069,C070,Udemy,2023-01-01,1,57.4,2.9,4.4,0.88,10.0,0,0,0.738095238,48.29761905,0,8.8,1,6
L0070,C040,Skillshare,2022-12-10,1,61.0,3.7,1.8,0.97,12.0,0,1,0.622222222,43.37555556,0,11.64,12,5
L0071,C084,edX,2022-08-13,1,87.7,4.9,1.6,0.88,10.0,0,1,0.636363636,41.80909091,1,8.8,8,5
L0072,C067,Skillshare,2022-03-03,0,0.0,0.0,0.6,0.43,7.0,0,0,0.711111111,51.03555556,0,3.01,3,3
L0073,C032,Udemy,2022-02-02,1,63.0,1.5,30.8,0.88,7.0,0,0,0.612244898,43.57755102,0,6.16,2,2
L0074,C044,Coursera,2022-10-29,1,57.6,3.7,7.3,0.93,10.0,0,0,0.826086957,56.53913043,0,9.3,10,5
L0075,C071,Udemy,2022-10-29,1,65.4,3.2,20.9,0.82,6.0,0,1,0.724137931,50.45172414,0,4.92,10,5
L0076,C029,Coursera,2022-02-06,1,92.3,1.9,1.5,0.7,8.0,0,0,0.619047619,43.39761905,0,5.6,2,6
L0077,C091,Coursera,2022-04-28,1,83.2,2.7,23.5,0.8,10.0,0,0,0.625,43.06458333,0,8.0,4,3
L0078,C009,Coursera,2022-06-19,1,84.7,4.8,1.6,0.98,10.0,0,1,0.787234043,54.68723404,1,9.8,6,6
L0079,C010,FutureLearn,2022-05-02,1,75.0,4.9,6.8,0.8,11.0,0,1,0.789473684,54.9,1,8.8,5,0
L0080,C036,Skillshare,2022-04-20,0,0.0,0.0,0.8,,1.0,0,0,0.68,47.784,0,0.06,4,2
L0081,C070,Udemy,2022-10-20,1,62.3,4.6,6.4,0.9,,0,1,0.738095238,48.29761905,1,5.4,10,3
L0082,C074,Skillshare,2022-05-05,0,0.0,0.0,0.9,0.14,1.0,0,0,0.671875,46.240625,0,0.14,5,3
L0083,C061,Skillshare,2022-04-08,0,0.0,0.0,1.7,0.1,2.0,0,0,0.660714286,46.63035714,0,0.2,4,4
L0084,C013,Coursera,2022-12-04,0,0.0,0.0,2.5,0.31,0.0,0,0,0.693877551,46.83877551,0,0.0,12,6
L0085,C056,edX,2022-08-05,1,54.1,4.7,0.6,,7.0,0,0,0.727272727,51.27636364,1,5.46,8,4
L0086,C053,Skillshare,2022-01-28,1,100.0,2.5,6.2,0.92,10.0,0,0,0.694915254,50.12542373,0,9.2,1,4
L0087,C087,Coursera,2022-02-01,0,0.0,0.0,1.6,0.27,1.0,0,0,0.693877551,49.60204082,0,0.27,2,1
L0088,C052,edX,2022-02-25,1,65.3,1.1,3.9,0.76,8.0,0,0,0.742857143,52.52285714,0,6.08,2,4
L0089,C032,,2022-04-08,1,95.3,4.2,6.9,0.73,10.0,0,1,0.612244898,43.57755102,1,7.3,4,4
L0090,C069,Skillshare,2022-03-13,1,83.2,2.7,1.4,0.79,9.0,0,0,0.532258065,37.68064516,0,7.11,3,6
L0091,C055,Udemy,2022-05-23,1,49.0,1.4,1.7,0.77,6.0,0,0,0.693548387,48.5016129,0,4.62,5,0
L0092,C060,Udemy,2022-02-08,0,0.0,0.0,0.9,0.45,0.0,0,0,0.659574468,48.6,0,0.0,2,1
L0093,C057,FutureLearn,2022-02-20,1,78.4,2.6,40.4,0.73,7.0,0,0,0.754385965,54.93859649,0,5.11,2,6
L0094,C007,FutureLearn,2022-01-08,1,71.5,3.3,3.3,0.93,7.0,0,1,0.617021277,40.28297872,0,6.51,1,5
L0095,C012,Udemy,2022-03-27,1,81.3,3.0,2.8,0.73,,0,0,0.734375,52.640625,0,8.03,3,6
L0096,C053,Skillshare,2022-09-04,1,69.0,3.1,0.5,0.8,6.0,0,1,0.694915254,50.12542373,0,4.8,9,6
L0097,C028,Skillshare,2022-01-31,1,51.8,2.3,16.6,0.78,,0,0,0.634146341,45.11707317,0,8.58,1,0
L0098,C022,Skillshare,2022-01-02,1,78.7,4.3,33.5,0.74,,0,1,0.612903226,41.62419355,1,5.18,1,6
L0099,C050,edX,2022-08-21,1,67.0,3.3,18.4,0.74,13.0,0,1,0.744186047,49.07906977,0,9.62,8,6
L0100,C037,,2022-12-23,0,0.0,0.0,0.9,0.41,2.0,0,0,0.6875,45.5375,0,0.82,12,4
L0101,C094,FutureLearn,2022-12-05,1,88.0,2.8,4.7,,8.0,0,0,0.648148148,47.95925926,0,6.72,12,0
L0102,C092,Skillshare,2022-03-21,1,63.9,1.9,23.0,0.82,10.0,0,0,0.804347826,55.64782609,0,8.2,3,0
L0103,C025,edX,2022-04-22,1,47.8,1.6,15.8,0.89,10.0,1,0,0.578947368,40.70789474,0,8.9,4,4
L0104,C008,FutureLearn,2022-10-05,1,87.2,1.6,3.7,0.77,12.0,0,0,0.645833333,46.42708333,0,9.24,10,2
L0105,C008,edX,2022-01-30,1,77.2,2.4,17.2,0.73,14.0,0,0,0.645833333,46.42708333,0,10.22,1,6
L0106,C007,FutureLearn,2022-09-02,1,75.0,4.2,1.6,0.77,12.0,0,1,0.617021277,40.28297872,1,9.24,9,4
L0107,C065,FutureLearn,2022-03-22,1,76.2,2.0,4.2,,,0,0,0.705882353,47.83529412,0,11.25,3,1
L0108,C008,FutureLearn,2022-02-11,1,98.2,2.8,29.4,0.75,,0,0,0.645833333,46.42708333,0,8.25,2,4
L0109,C024,Coursera,2022-11-01,1,71.6,3.8,25.6,0.91,6.0,0,1,0.659090909,44.51818182,0,5.46,11,1
L0110,C009,Udemy,2022-07-26,1,80.9,2.7,13.3,0.98,16.0,0,0,0.787234043,54.68723404,0,15.68,7,1
L0111,C016,FutureLearn,2022-05-07,0,0.0,0.0,3.0,0.42,0.0,0,0,0.712121212,51.35606061,0,0.0,5,5
L0112,C075,FutureLearn,2022-01-21,1,70.8,3.4,5.1,0.72,8.0,0,1,0.613636364,43.90454545,0,5.76,1,4
L0113,C080,Coursera,2022-08-03,0,0.0,0.0,1.3,0.2,3.0,0,0,0.794117647,55.36764706,0,0.6,8,2
L0114,C085,FutureLearn,2022-10-17,1,86.4,2.8,2.5,0.84,6.0,0,0,0.689655172,46.95,0,5.04,10,0
L0115,C067,edX,2022-05-14,1,82.1,2.4,8.7,0.89,6.0,0,0,0.711111111,51.03555556,0,5.34,5,5
L0116,C027,edX,2022-05-03,0,0.0,0.0,3.0,0.25,1.0,0,0,0.692307692,48.725,0,0.25,5,1
L0117,C034,Skillshare,2022-03-09,1,67.6,1.8,22.8,0.76,7.0,0,0,0.745098039,50.31960784,0,5.32,3,2
L0118,C086,edX,2022-08-23,1,59.3,4.1,6.0,0.86,9.0,0,0,0.688888889,48.64444444,1,7.74,8,1
L0119,C041,Coursera,2022-01-05,1,71.6,1.6,2.0,0.96,17.0,0,0,0.716981132,51.24150943,0,16.32,1,2
L0120,C059,FutureLearn,2022-10-16,0,0.0,0.0,2.1,0.2,,0,0,0.622641509,44.59433962,0,0.0,10,6
L0121,C013,Coursera,2022-10-03,0,0.0,0.0,2.3,0.33,0.0,0,0,0.693877551,46.83877551,0,0.0,10,0
L0122,C028,FutureLearn,2022-05-16,0,0.0,0.0,1.1,0.34,0.0,0,0,0.634146341,45.11707317,0,0.0,5,0
L0123,C017,edX,2022-02-05,0,0.0,0.0,2.5,0.09,2.0,0,0,0.731343284,51.24328358,0,0.18,2,5
L0124,C032,edX,2022-05-26,0,0.0,0.0,2.3,0.43,,0,0,0.612244898,43.57755102,0,1.29,5,3
L0125,C021,Skillshare,2022-10-06,0,0.0,0.0,2.7,0.01,0.0,0,0,0.74,50.32,0,0.0,10,3
L0126,C091,edX,2022-11-10,0,0.0,0.0,0.6,0.09,4.0,0,0,0.625,43.06458333,0,0.36,11,3
L0127,C084,FutureLearn,2022-01-05,0,0.0,0.0,1.4,0.3,2.0,0,0,0.636363636,41.80909091,0,0.6,1,2
L0128,C086,,2022-06-03,1,43.7,4.8,14.4,0.74,14.0,1,0,0.688888889,48.64444444,1,10.36,6,4
L0129,C085,Coursera,2022-03-10,1,61.8,4.2,5.5,0.71,8.0,0,1,0.689655172,46.95,1,5.68,3,3
L0130,C034,Coursera,2022-02-24,1,60.7,4.3,41.6,0.86,6.0,0,1,0.745098039,50.31960784,1,5.16,2,3
L0131,C096,FutureLearn,2022-03-21,0,0.0,0.0,2.8,0.06,2.0,0,0,0.677966102,45.67118644,0,0.12,3,0
L0132,C035,edX,2022-11-06,1,63.7,4.3,2.3,0.7,14.0,0,0,0.822222222,56.22888889,1,9.8,11,6
L0133,C027,edX,2022-04-15,1,54.9,4.7,5.4,,10.0,0,0,0.692307692,48.725,1,8.1,4,4
L0134,C088,edX,2022-09-16,0,0.0,0.0,2.3,0.04,2.0,0,0,0.607843137,41.05294118,0,0.08,9,4
L0135,C063,edX,2022-01-27,0,0.0,0.0,1.4,0.36,2.0,0,0,0.62,44.356,0,0.72,1,3
L0136,C012,Skillshare,2022-05-22,1,77.7,4.7,13.2,0.76,11.0,0,1,0.734375,52.640625,1,8.36,5,6
L0137,C006,Coursera,2022-06-20,1,44.7,4.1,1.1,0.72,12.0,0,0,0.653061224,43.82244898,1,8.64,6,0
L0138,C099,Udemy,2022-11-23,1,84.8,2.7,2.8,0.95,13.0,0,0,0.70212766,48.62765957,0,12.35,11,2
L0139,C034,Udemy,2022-08-15,0,0.0,0.0,2.0,0.18,0.0,0,0,0.745098039,50.31960784,0,0.0,8,0
L0140,C071,,2022-10-15,1,50.2,3.2,20.6,0.92,13.0,0,0,0.724137931,50.45172414,0,11.96,10,5
L0141,C002,Coursera,2022-02-08,1,66.6,4.4,2.9,0.85,16.0,0,1,0.770833333,50.73541667,1,13.6,2,1
L0142,C089,Udemy,2022-10-07,1,82.3,1.1,12.0,0.79,16.0,0,0,0.756097561,54.26829268,0,12.64,10,4
L0143,C005,edX,2022-10-26,1,72.0,4.4,3.8,0.95,7.0,0,1,0.714285714,50.55510204,1,6.65,10,2
L0144,C071,Udemy,2022-08-09,0,0.0,0.0,2.2,0.17,1.0,0,0,0.724137931,50.45172414,0,0.17,8,1
L0145,C017,Coursera,2022-06-07,1,91.7,2.3,9.8,,11.0,0,0,0.731343284,51.24328358,0,10.67,6,1
L0146,C047,Coursera,2022-07-03,0,0.0,0.0,2.7,0.01,5.0,0,0,0.6,46.58,0,0.05,7,6
L0147,C027,Udemy,2022-12-08,1,72.9,2.6,6.5,0.89,13.0,0,0,0.692307692,48.725,0,11.57,12,3
L0148,C014,edX,2022-10-14,1,56.9,1.4,4.4,0.79,8.0,0,0,0.692307692,48.18269231,0,6.32,10,4
L0149,C053,FutureLearn,2022-03-21,0,0.0,0.0,0.5,0.49,2.0,0,0,0.694915254,50.12542373,0,0.98,3,0
L0150,C031,Udemy,2022-04-01,0,0.0,0.0,2.9,,0.0,0,0,0.636363636,44.01636364,0,0.0,4,4
L0151,C053,,2022-04-02,1,81.9,4.5,29.0,0.84,,0,1,0.694915254,50.12542373,1,9.24,4,5
L0152,C095,edX,2022-07-30,1,87.5,3.1,2.6,,7.0,0,1,0.679245283,48.90754717,0,5.25,7,5
L0153,C086,Udemy,2022-05-17,1,94.3,2.4,0.6,0.99,9.0,0,0,0.688888889,48.64444444,0,8.91,5,1
L0154,C021,Coursera,2022-07-15,1,75.2,1.9,2.5,0.86,11.0,0,0,0.74,50.32,0,9.46,7,4
L0155,C005,Skillshare,2022-04-24,0,0.0,0.0,2.7,0.13,0.0,0,0,0.714285714,50.55510204,0,0.0,4,6
L0156,C026,Skillshare,2022-06-29,1,64.4,4.8,19.8,0.94,11.0,0,1,0.86,61.268,1,10.34,6,2
L0157,C040,Udemy,2022-04-25,0,0.0,0.0,1.5,0.19,2.0,0,0,0.622222222,43.37555556,0,0.38,4,0
L0158,C004,Udemy,2022-07-24,0,0.0,0.0,1.1,,0.0,0,0,0.84,57.566,0,0.0,7,6
L0159,C043,edX,2022-02-05,1,17.8,3.4,17.4,0.8,12.0,1,0,0.625,44.2375,0,9.6,2,5
L0160,C099,edX,2022-06-29,0,0.0,0.0,2.7,0.4,7.0,0,0,0.70212766,48.62765957,0,2.8,6,2
L0161,C083,FutureLearn,2022-07-24,1,56.9,1.6,21.3,0.96,6.0,0,0,0.775862069,53.65344828,0,5.76,7,6
L0162,C087,FutureLearn,2022-06-19,1,75.5,4.3,7.1,0.7,8.0,0,0,0.693877551,49.60204082,1,5.6,6,6
L0163,C004,Coursera,2022-05-14,1,64.1,3.5,3.0,0.89,10.0,0,1,0.84,57.566,0,8.9,5,5
L0164,C023,FutureLearn,2022-05-16,0,0.0,0.0,2.4,0.27,4.0,0,0,0.679245283,49.76792453,0,1.08,5,0
L0165,C005,Coursera,2022-11-02,1,63.3,2.2,12.3,0.72,11.0,0,0,0.714285714,50.55510204,0,7.92,11,2
L0166,C056,edX,2022-06-10,1,72.9,1.2,20.5,0.99,6.0,0,0,0.727272727,51.27636364,0,5.94,6,4
L0167,C056,FutureLearn,2022-09-19,0,0.0,0.0,0.6,0.16,3.0,0,0,0.727272727,51.27636364,0,0.48,9,0
L0168,C015,Skillshare,2022-10-23,0,0.0,0.0,3.0,0.21,1.0,0,0,0.714285714,49.94285714,0,0.21,10,6
L0169,C025,edX,2022-01-23,1,54.7,1.3,11.4,,6.0,0,0,0.578947368,40.70789474,0,5.4,1,6
L0170,C091,Skillshare,2022-01-01,1,80.6,2.7,10.2,0.82,9.0,0,0,0.625,43.06458333,0,7.38,1,5
L0171,C067,FutureLearn,2022-12-18,0,0.0,0.0,1.0,0.02,3.0,0,0,0.711111111,51.03555556,0,0.06,12,6
L0172,C093,Udemy,2022-07-06,1,74.0,4.1,14.7,0.95,13.0,0,1,0.660714286,42.91785714,1,12.35,7,2
L0173,C056,Coursera,2022-12-07,0,0.0,0.0,0.6,0.46,3.0,0,0,0.727272727,51.27636364,0,1.38,12,2
L0174,C043,FutureLearn,2022-06-10,0,0.0,0.0,2.2,0.22,,0,0,0.625,44.2375,0,0.22,6,4
L0175,C085,Coursera,2022-06-03,0,0.0,0.0,2.0,0.13,,0,0,0.689655172,46.95,0,0.26,6,4
L0176,C065,edX,2022-12-08,0,0.0,0.0,0.7,0.2,2.0,0,0,0.705882353,47.83529412,0,0.4,12,3
L0177,C053,edX,2022-07-26,1,66.5,4.4,15.1,0.71,10.0,0,1,0.694915254,50.12542373,1,7.1,7,1
L0178,C090,edX,2022-10-11,0,0.0,0.0,3.0,0.07,3.0,0,0,0.711538462,48.97307692,0,0.21,10,1
L0179,C017,Udemy,2022-08-04,0,0.0,0.0,1.3,0.26,0.0,0,0,0.731343284,51.24328358,0,0.0,8,3
L0180,C086,Skillshare,2022-12-13,1,55.0,3.3,11.7,,7.0,0,0,0.688888889,48.64444444,0,6.58,12,1
L0181,C096,Udemy,2022-11-12,0,0.0,0.0,2.1,0.35,0.0,0,0,0.677966102,45.67118644,0,0.0,11,5
L0182,C073,edX,2022-07-27,1,65.8,1.2,7.8,0.91,14.0,0,0,0.756097561,48.97317073,0,12.74,7,2
L0183,C071,Coursera,2022-06-05,1,85.7,1.3,22.5,0.86,13.0,0,0,0.724137931,50.45172414,0,11.18,6,6
L0184,C037,Udemy,2022-08-09,1,62.0,3.1,13.2,0.72,4.0,0,1,0.6875,45.5375,0,2.88,8,1
L0185,C075,FutureLearn,2022-12-02,0,0.0,0.0,2.7,0.11,2.0,0,0,0.613636364,43.90454545,0,0.22,12,4
L0186,C042,Skillshare,2022-08-15,1,69.6,3.2,12.7,0.77,11.0,0,1,0.547169811,38.61698113,0,8.47,8,0
L0187,C057,Udemy,2022-09-19,1,100.0,1.3,0.3,0.78,10.0,0,0,0.754385965,54.93859649,0,7.8,9,0
L0188,C061,Udemy,2022-12-04,1,62.8,2.4,4.6,1.0,11.0,0,0,0.660714286,46.63035714,0,11.0,12,6
L0189,C011,edX,2022-09-21,1,93.6,2.9,20.7,0.97,9.0,0,0,0.682539683,47.54444444,0,8.73,9,2
L0190,C085,FutureLearn,2022-06-21,1,92.1,3.9,1.4,0.91,15.0,0,1,0.689655172,46.95,0,13.65,6,1
L0191,C012,Udemy,2022-12-11,0,0.0,0.0,2.9,0.09,2.0,0,0,0.734375,52.640625,0,0.18,12,6
L0192,C040,Udemy,2022-04-12,1,90.7,2.8,7.2,0.81,11.0,0,0,0.622222222,43.37555556,0,8.91,4,1
L0193,C019,Coursera,2022-01-24,1,50.6,4.1,1.4,0.99,9.0,0,0,0.735849057,50.50754717,1,8.91,1,0
L0194,C032,Skillshare,2022-11-09,0,0.0,0.0,0.9,0.26,2.0,0,0,0.612244898,43.57755102,0,0.52,11,2
L0195,C099,,2022-08-22,0,0.0,0.0,2.0,0.35,1.0,0,0,0.70212766,48.62765957,0,0.35,8,0
L0196,C054,FutureLearn,2022-04-10,0,0.0,0.0,2.3,0.33,5.0,0,0,0.541666667,38.03958333,0,1.65,4,6
L0197,C092,Skillshare,2022-09-11,0,0.0,0.0,1.2,0.03,2.0,0,0,0.804347826,55.64782609,0,0.06,9,6
L0198,C052,Udemy,2022-03-17,0,0.0,0.0,1.6,0.47,2.0,0,0,0.742857143,52.52285714,0,0.94,3,3
L0199,C084,Coursera,2022-02-24,0,0.0,0.0,3.0,0.48,0.0,0,0,0.636363636,41.80909091,0,0.0,2,3
L0200,C100,Skillshare,2022-04-23,1,87.4,3.6,20.2,,10.0,0,1,0.674418605,46.39069767,0,8.4,4,5
L0201,C023,FutureLearn,2022-08-26,1,86.6,1.8,11.2,0.99,5.0,0,0,0.679245283,49.76792453,0,4.95,8,4
L0202,C007,FutureLearn,2022-05-08,1,54.4,4.5,1.9,0.91,12.0,0,0,0.617021277,40.28297872,1,10.92,5,6
L0203,C016,Skillshare,2022-03-10,1,73.0,1.1,26.7,0.91,12.0,0,0,0.712121212,51.35606061,0,10.92,3,3
L0204,C060,FutureLearn,2022-10-14,1,85.8,2.6,10.5,0.73,9.0,0,0,0.659574468,48.6,0,6.57,10,4
L0205,C077,edX,2022-08-15,1,94.2,4.5,5.2,0.8,9.0,0,1,0.688888889,47.95333333,1,7.2,8,0
L0206,C079,FutureLearn,2022-08-07,0,0.0,0.0,1.9,0.0,1.0,0,0,0.755102041,51.49183673,0,0.0,8,6
L0207,C071,Skillshare,2022-03-23,1,76.8,3.8,4.9,0.83,7.0,0,1,0.724137931,50.45172414,0,5.81,3,2
L0208,C096,Skillshare,2022-08-19,0,0.0,0.0,0.7,0.3,3.0,0,0,0.677966102,45.67118644,0,0.9,8,4
